Comment,Category,Keyword
"Fiquei muito chateada pois deixei de comprar de outro vendedor e depois de muitos dias recebi um email informando que o produto não poderia ser entregue, comprar e não receber é muito chato.",Pedido Errado,produto diferente
Infelizmente ainda não foi entregue!  Primeira compra na loja parceira da stark e tive essa surpresa... devemos ficar mais atento a isso!,Logística,status entrega
Já e a segunda vez q compro e até agora não chegou o que comprei.,Logística,chegada
O produto chegou correto. O problema foi a demora na entrega.,Pedido Errado,cor
"COMPREI 2, APENAS 1 FOI ENTREGUE. ESTOU NO AGUARDO.",Logística,status entrega
RECUSEI A ENTREGA DO PRODUTO PORQUE CHEGOU TODO QUEBRADO ESTOU NO AGUARDO DO RESSARCIMENTO DO VALOR.,Qualidade,avaria
"A realização da compra foi realizada com um prazo de entrega longo de 20 dias e a previsão de ATÉ 26/12, fato não ocorrido. O produto ainda não foi entregue! Não respeitaram o prazo. NÃO INDICO!!",Pedido Errado,cor
Produto apresenta clara baixa qualidade do produto.,Outros,análise inconclusiva
O produto não tem boa qualidade as tampas não fecham totalmente e ele não se encaixa totalmente no painel do carro .,Outros,análise inconclusiva
Até agora não recebi a comunicação da reclamação que eu fiz sobre o não funcionamento do aparelho que está com defeito.,Qualidade,defeito
Deveria ficar claro pra quem for comprar  q o produto é uma réplica!,Qualidade,falsificação
"Recebi o produto, mas com a cor incorreta da q pedi na hora da compra. Comprei cinza, recebi azul marinho.",Pedido Errado,cor
Prazo de entrega ultrapassado e nada do produto ou qualquer e-mail a respeito falando sobre o atraso e sua razão.,Logística,atraso
"O produto anunciado é um e o produto entregue é outro e de baixissima qualidade. Inadimissivel esse tipo de atitude que fere o codigo de defesa do consumidor, entregar produto diferente do anunciado",Pedido Errado,produto diferente
"O Varão vem em 4 partes, mas quando se encaixam ficam com folga, ai quanto pendura a cortina ele fica torto com uma ""barriga"" entre um Gancho de fixação e outro!!",Pedido Errado,produto diferente
o produto comprado foi cabo HDMI e veio VGA. Preciso trocar.,Outros,análise inconclusiva
desejo o ressarcimento do valor pago e não quero o produto.... me enviaram um produto totalmente diferente do solicitado além da cor ser cinza e não preto o modelo veio para um carro diferente do meu,Pedido Errado,cor
Compreendo que estávamos em Greve mais até quando chega,Outros,análise inconclusiva
Não recebi o produto e estou esperando a devolução do meu dinheiro.,Atendimento,financeiro
"na hota da ocmpra estava escrito que era 30 caixas por 9,90 e só veio 1 e ainda me cobra o frete do dobro do produto quero devolver.",Pedido Errado,quantidade
"O produto veio com defeito, o toner está manchando demais os papeis, até parece que está no final da impressão.",Qualidade,defeito
"Boa tarde!  Recebi um produto, porém, não é a compra que realizei, meu pedido foi de uma capa/bolsinha com zíper e recebi uma capinha fina, muito feia!  Preciso que nos envie a mercadoria correta",Pedido Errado,cor
Espero obter uma resposta para minha encomenda. Comprei 3 controles remotos para ar condicionado e apenas recebi 1 controle Komeco e dos 2 controles Elgin pedidos e pago só foi entregue 1 controle Elg,Atendimento,comunicação
"Não cumpriram o prazo de entrega,ainda não recebi o produto",Logística,prazo
"Achei o produto muito pequeno e onde fica a ""tela "" com os botões do microondas sai com facilidade. Não tem um bom encaixe...",Outros,análise inconclusiva
O PRODUTO AINDA NÃO FOI ENTREGUE NO PRAZO. O QUE EU FAÇO???,Logística,prazo
"Apenas uma reclamação, paguei o frete para receber na minha residência, e o produto foi entregue nos correios, agora quem vai me ressarcir com o valor que gastei para ir até o correio??????",Pedido Errado,quantidade
Só chegou uma central multimidia sendo que eu comprei 2,Logística,chegada
A data limite para entrega do produto era 11 de abril. Já se passaram dois dias e a mercadoria não chegou. Quando receberei?,Logística,entrega
Na foto e de um jeito quando chega nda haver ruim,Qualidade,qualidade
"nao recebi meu pedido, e agora o que faço",Logística,recebimento
"O produto enviado não condiz com o visto nas fotos da propaganda. É de péssima qualidade, não atende as expectativas e não serve para o fim que foi adquirido, além do atraso na entrega.Quero devolver",Qualidade,diferente da foto
"Amanhã vou ligar no atendimento solicitando a devolução do meu dinheiro. Produto super frágil, minha mãe vou esticar pra por no colchão e rasgou. Não recomendo.",Qualidade,defeito
"Conforme fiz o registro no site das américas já, no mesmo dia que recebi, Estou reiterando que na propaganda do produto diz 4 peças com um peço único, só recebi uma peça. Estou aguardando o retorno.",Qualidade,propaganda
ja enviei mensagem e ate hoje não me responderam . so recebi parte do pedido,Atendimento,comunicação
"Por enquanto não recomendo a loja, já que o produto ainda não chegou. Todos os outros que comprei no mesmo pedido já foram entregues, mas só o dessa loja ainda não recebi.",Pedido Errado,produto diferente
Ainda não recebi o produto. Comprei dia 22/1017. Quero meu produto ou o dinheiro de volta.,Atendimento,financeiro
Produto diferente da foto. Produto sem fecho e por isso não serve.,Qualidade,diferente da foto
"Estou com meu pedido desde 15/02, ainda não recebi, gostaria de providências.",Logística,recebimento
"Não gostei do matéria das cotinas,achei muito veias.",Outros,análise inconclusiva
"quando fiz a compra paguei o frete,tive que ir pegar nos correios falta de respeito na hora de vender vcs aceitam depois temos que ir buscar ,não compro mais e nem recomendo.",Pedido Errado,cor
"Vi pela internet que o produto é falso, dentro da capsula nao tem o pozinho vedadeiro, mega chateada .",Qualidade,falsificação
Não me entregaram o produto...não me ligaram....não me deram nenhum número para que eu possa falar com algum representante ..tem uma criança ansiosa esperando pelo produto que não chega,Qualidade,defeito
Espero mais de 3 meses para dizer não que tinha o produto!,Outros,análise inconclusiva
"Pelo que parece o produto foi extraviado pelos correios / carga roubada , e simplesmente não tenho nenhuma explicação ou retorno da empresa. Já tentei contato com as lannister e protocolo.",Pedido Errado,cor
"Produto de qualidade muito baixa, muito fina o tecido, não tem nada a ver com ?FELPUDAS? na minha opinião se tivesse sendo vendida por 20,00 ainda seria caro, muito mal feitas!!!",Outros,análise inconclusiva
"Cortina horrível, super fina e transparente, não fica bonita na sala, muito diferente da foto, material feio, me arrependi totalmente, tive q improvisar colocando outro tecido q eu tinha. péssimo!",Pedido Errado,produto diferente
faltou as quatro pulseiras..  só veio 3 pulseiras na embalagem..  eu efetuei duas compras.. uma de um kit de 3 pulseiras e outra com um kit de 4 pulseiras.. só chegou o kit de 3 pulseiras..,Pedido Errado,faltou
"O cartão que recebi é falso. Começou com a cor do cartão que não era a mesma da foto site. o celular e Pc não reconheceram o cartão. por fim, descobri que a sigla do prodt. É para uma capacidade meno",Pedido Errado,cor
A ficha técnica do produto não condiz com a mercadoria entregue. Propaganda enganosa!!!!!!,Qualidade,propaganda
Comprei 02 nichos e só recebi o nicho preto 40x30. Faltou o nicho travertino 60x30. O que aconteceu?,Pedido Errado,faltou
Falta ser entregue o suporte para os pés. Só chegou as vasilhas,Logística,status entrega
"A loja não cumpriu com o prazo de entrega informado, que seria ""até"" 08/08/2018.",Logística,prazo
"Comprei um produto dia 06-09-2017 e até hoje não recebi, o número do pedido: 02-6502 47333",Logística,recebimento
"Produto que sinais de uso , manchado , marcado e quebrado",Qualidade,avaria
No rastreamento diz que foi entregue mas não recebi nada...,Logística,status entrega
Compramos tres unidades e foram entregues apenas duas unidades. Aguardo solução do problema!,Pedido Errado,quantidade
Ele já veio com grau é muito forte.,Outros,análise inconclusiva
"Pedido com entrega parcelada Ainda não recebi o outro produto paguei dois fretes em um pedido A compra foi feita por Lourdes Marli Barichello Conceição para o meu neto mateus, menor de idade.Pai re",Pedido Errado,produto diferente
O produto não é o quê eu imaginava Quero devolvê-lo pequeno demais não consigo enxergar nada,Outros,análise inconclusiva
"O produto tinha nota fiscal de todos os itens, mas há partes faltando.",Pedido Errado,faltando
Realizei a compra de 3 unidades.Mas qual foi minha surpresa ao receber a caixa.Havia apenas uma unidade e a nota em anexo constavam as 3 .De imediato entrei em contato com os Correios .Me informaram q,Pedido Errado,quantidade
Comprei o produto 20/07/2018 a entrega ate 01/08/2018 nem satisfação .,Logística,entrega
"Produto inferio ao da foto, ponteiras que vieram não são compativeis com o produto",Qualidade,diferente da foto
So Recebi metade dos produtos a nota fiscal veio no valor inferior ao pago .. não recomendo ! Dei uma estrela pq eh obrigada a dar pelo menos uma,Qualidade,qualidade
"minha película de vidro chegou toda trincada! preciso de uma inteira,",Logística,chegada
Me deram um prazo gigantesco para enviar o produto e no ?último dia? me enviaram um e-mail dizendo que não tem o produto. Agora tenho a burocracia para receber meu dinheiro de volta.,Atendimento,financeiro
"A cor dos prendedores e a cor da Barra São lilás escuros, a que veio foi Rosa Não gostei. Prefiro não opinar sobre a loja Errar eh humano",Pedido Errado,cor
Produto não corresponde ao da foto pois o que fora enviado é de cor diversa e de qualidade inferior. Em supermercados locais o produto é vendido a menos de 15 reais.,Pedido Errado,cor
Comprei pelo site da lannister onde é um site confiável e não recebi a minha mercadoria programada para dia 17/04/2018. Há já vista que quero saber se receberei a minha mercadoria.,Logística,recebimento
"Comprei e não levei, comprei em novembro com promessa de receber o produto em 12 dias, ja se passaram mais de 30 dias... e o pior  SEM NENHUM CONTATO, sem nenhuma informação. detalhe 2 parcelas pagas",Atendimento,contato
"Fornecedor deve ter agido de ma fé, pois comprei duas unidades e só chegou uma.",Pedido Errado,quantidade
MOTOR VENTILADOR NÃO É ORIGINAL. O ANUNCIO AFIRMA QUE É ORIGINAL.,Qualidade,originalidade
Apesar de fazer o pedido pelo telefone o prazo dado não foi cumprido.,Logística,prazo
Comprei e paguei por dois kits é só recebi 1,Logística,recebimento
Não desejo mais essa comprar necessário reembolso pois cancelei,Atendimento,financeiro
ótimo e recomendo nota oito e meio.,Outros,análise inconclusiva
"produto falsificado, e uma mine escuta porem das duas que comprei nao funciona .....",Qualidade,funcionalidade
Era pra ter chego dia 14 e até agora nada,Outros,análise inconclusiva
Bom dia. Comprei 2 produtos 01 ventilador de teto que ainda não recebi. e um filtro do squime que fui buscar no correio mesmo pagando frete.,Pedido Errado,cor
"Pedido veio pela metade. Comprei extrator de cravos e caneleira, mas recebi somente a cabeleira.",Logística,recebimento
Não recomendo a compra desse produto entrega muito demorada,Logística,atraso
Comprei um patins dia 8/12/17 e até hoje não recebemos minha filha ficou sem presente de Natal porque vcs não conseguiram entregar aguardo o produto ou meu dinheiro de volta,Atendimento,financeiro
Entrega do produto diferente do solicitado Aguardo orientação para a troca,Qualidade,divergência
Pedi o Pure Seduction e veio o Love Spell.,Outros,análise inconclusiva
Comprei dois e entregaram um so .isso é um absurdo . Seus ladrões,Logística,entrega
Gostaria de sabe pq não venhor o inalador certo perdi um e venhor outro estou tentando fala com o vendendo e não consigo.,Pedido Errado,produto diferente
Loja péssima meu produto nunca chegava nem saiu do status aguardando nota fiscal até que desisti da compra e até agora não recebi a informação de ressarcimento,Logística,recebimento
Faltou produto. Relógio com pingente Torre Eiffel.,Pedido Errado,faltou
o produto foi entregue errado eu estou esperado contatos da loja para resolver a situação,Pedido Errado,produto errado
Fiz a compra de dois prudutos juntos e recebi somente um código. Automaticamente achei q viaria os dois mas só chegou um,Pedido Errado,quantidade
"Produto veio faltando peças, solicito outro com urgência pois já realizei o pagamento! Gostaria do contato, com urgência.",Pedido Errado,faltando
"na conta consta que o produto foi entregue mas até o momento não  entregue dia 26/03,feito a reclamação 30/03",Logística,status entrega
O produto entregue não corresponde ao produto que eu encomendei.,Pedido Errado,cor
"Se a loja não tem a responsabilidade de entregar os produtos por que continua no site da baratheon,pois já liguei várias vezes na baratheon q disse q eles entrariam em contato",Atendimento,contato
"Comprei 4 itens, porém, chegou somente 1, o pior é que com a nota fiscal dos 4 que eu havia comprado como se naquela embalagem estivesse todos itens.   Demora na resolução do problema ocorrido.",Pedido Errado,cor
"Produto de péssima qualidade, nada haver com a foto. A saia não é reta igual na foto, fica cheia de pregas. Não compram, só queria o meu dinheiro de volta!!!",Qualidade,diferente da foto
"NA DESCRIÇÃO INFORMA QUE SÃO 03 UNIDADES DO PRODUTO, PORÉM SÃO 3 ITENS:UM GUARDANAPO DE MESA+01 GUARDANAPO DE BOCA+01 ANEL = O GUARDANAPO DE MESA É SUPER PEQUENO, NAO CABE NEM UM PRATO EM CIMA.",Pedido Errado,quantidade
Não recebi o produto comprado há mais de 20 dias,Logística,recebimento
"O produto teve o pagamento aprovado 1 dia depois do pagamento, porem o vendedor esperou 6 dias depois para enviar faltando apenas 1 dia para vencer o prazo de entrega e o produto não chegou ainda.",Pedido Errado,faltando
simplesmente entregaram nos correios para eu ir retirar e nem me informaram disso. resultado? o produto foi devolvido para a loja. CANCELEI!,Pedido Errado,cor
Pedi um perfume hugo boss energise. Até aí td bem. Só que o perfume não tem aroma nem fixação. A tampa veio solta.,Outros,análise inconclusiva
Fiz a minha compra em 14/02 e até o momento não recebi o meu produto. Ou seja mais de um mês 😡,Logística,recebimento
"Consta no site como produto entregue no dia 18/01/2018, mas na verdade o produto ainda não chegou.",Logística,status entrega
Recebi as lentes de contato com o grau errado. Solicitei 1.50 e vieram com 1.75. Triste pois preciso das lentes para sábado dia 19/05.,Pedido Errado,produto errado
Até esta data não recebi um posicionamento sobre a entrega do produto comprado. Apenas enviaram um email dizendo que houve problema na entrega e até agora nada,Atendimento,email
"comprei duas cortinas a malha pessima,lamentavel, uma esta em fase de devoluçao ,mas nao recomendo esse vendedormas gostaria de fazer a devoluçao das duas sem mais.aparecida",Pedido Errado,cor
O produto retornou para o vendedor e até hj n me deram satisfação... N consigo entrar em.contato com eles... Liguei nas lannister e me falaram q iam solicitar o reenvio do produto... Até hj nada...:(,Atendimento,vendedor
Não chegou o produto poderiam enviar algum e-mail explicando,Logística,chegada
comprei um produto e recebi outro quero devolver,Pedido Errado,produto diferente
nao sei como posso avaliar se nao recebi a mercadoria,Logística,recebimento
Mais um vez veio faltando o item Kit Flor Artificial Orquídea Chuva De Ouro 10 Unidades 	Vendido e entregue por targaryen 	Qtd 1,Pedido Errado,faltando
Recebi somente a Grella oriental. Não recebi as duas panelas.,Logística,recebimento
"Recebi o produto cheio de defeitos. Já solicitei devolução do dinheiro, estou aguardando retorno",Qualidade,defeito
"Paguei o valor do frete para receber o produto na minha residência, mas na minha cidade toda a área é considerada restrita, isso pela incopetencia da adm dos correios que não tem funcionário suficient",Pedido Errado,cor
COMPREI UMA MOCHILA DA MOANA E RECEBI DA MARSHA. QUE TRANSTORNO...,Logística,recebimento
"Muito ruim a qualidade, as bordas do desenho veio com aspecto de queimado, não consigo tirar a pelicula da frente do espelho pra ver se afetou o mesmo... sem adesivo pra fixar.",Qualidade,qualidade
"Nunca tive problemas com as compras na loja lannister... mas este produto chegou com algumas partes quebradas, impossibilitando a montagem, aguardando a troca 26/10/17.",Logística,chegada
Minha película de vidro veio quebrada e não veio junto com o celular. Tive que esperar muito tempo e não deu pra usar.,Outros,análise inconclusiva
"O produto veio errado não tive nenhum respaldo para troca ou devolução do dinheiro, infelizmente terei que entrar com uma ação judicial para resolver o meu problema",Pedido Errado,produto errado
Meu produto que CANCELEI antes de gerar NFE ainda não chegou para eu recusar.,Logística,chegada
O pedido veio errado. Está a maior burocracia p trocar. Eles jogam p lannister' e a lannister' diz que eu tenho que resolver com eles. -.-',Pedido Errado,produto errado
"Ainda não chegou o meu jogo,estou esperando",Logística,chegada
Produto de péssima qualidade Não tem nada a ver com a descrição nem a foto!,Qualidade,diferente da foto
Comprei um produto que esteva anunciando uma coisa e o produto não corresponde ao anúncio,Pedido Errado,cor
Eles entregaram apenas 1. Eu comprei dois da mesma marca (cassino one billion),Logística,entrega
Comprei 2 unidades e chegou só uma,Pedido Errado,quantidade
"Só chegou uma licença com o selo da Microsoft e a outra veio impressa na nota fiscal, o que achei muito estranho. Além disso a licença não funciona.",Qualidade,funcionalidade
"No site informa que o produto foi entregue em 22/05, mas hoje é 24/05 e até o momento não recebi a mercadoria.",Logística,status entrega
O produto veio com defeito. O touchscreen não está funcionando. Estou aguardando a loja enviar o código postal para que eu possa devolver a mercadoria.,Qualidade,defeito
"Comprei dois fones de ouvido com valor de R$ 50, 32 e entregaram o cabo para para iPhone no valor de r$ 10",Logística,entrega
"recebi a nota fiscal de 6 produtos mas so entregaram 1 , liguei para o lojista e foi ate atencioso falou que tinha enviado os 6 pois ele falou que tinha que fazer uma encomenda(caixa) para cada vidro",Logística,entrega
Não recebi o produto que esta sendo cobrado no meu cartão de credito.,Logística,recebimento
"Não verifiquei sobre a essa empresa targaryen antes, após a compra vi que é uma péssima empresa, muitas reclamações, americas porque vocês ainda tem uma empresa tão irresponsável como parceiro??",Outros,análise inconclusiva
"produto veio errado, fiz todo processo para fazer a troca. me deram 2 dias para me responder e nada. liguei e pediram para esperar. amanhã vence o prazo pra devolver ou trocar. vão me obrigar a ficar",Pedido Errado,produto errado
"Colocam no site que o produto já está entregue mais não chegou no destino , quando reclama aí com dois ou três dias chega",Logística,status entrega
"o produto veio incompleto, foram duas bandeijas e so foi entregue uma, e a nota fiscal vei cobrando o valor de duas constando so um item na mesma, muito insatisfeito",Pedido Errado,incompleto
"Como posso avaliar o produto se ainda nem recebir . Estou aguardando. E que diga de passagem, não sabia que ia demorar tanto!!!!!!!!!",Logística,atraso
Devolvi o produto é solicitei o cancelamento da Compra.,Atendimento,cancelamento
"não esta sendo eficiente, me deram um prazo de entrega e ate agora nada",Logística,prazo
Todos os produtos chegaram quebrados e um absurdo isso eles foram muito mau embalados e não tinha especificação na caixa falando q era produto frágil as 3 panelas de barro q comprei chegaram quebradas,Qualidade,avaria
Já está no quinto dia de atraso com o prazo que me deram,Logística,atraso
"o produto veio correto e no prazo, porem veio com uma peça quebrada",Pedido Errado,cor
Produto com 15 dias de atraso do esperado.,Logística,atraso
"Comprei um Mouse Gamer Usb 3200 Dpi Ótico 7 Botões X SOLDADO GAMER. Entregaram o mouse gamer Estone E-Sports de 2400 DPI. Mandaram a nota fiscal como sendo o produto de minha compra, mas não recebi o",Logística,entrega
"Eu comprei o de 120 cápsulas e me enviaram o de 60, a caixa veio um pouco amassada, a nota fiscal danificada em razão da quantidade de durex. Quero o meu dinheiro de volta!",Pedido Errado,quantidade
ainda nao recebi o produto estou no aguardo,Logística,recebimento
"Comprei um Troninho Musical, p/ a minha surpresa veio quebrado. Estou aguardando o retorno da loja para efetuar a troca. Infelizmente, existe muita dificuldade para entrar em contato com as lojas.",Qualidade,avaria
"Segundo cancelamento do mesmo item no site lannister.com. Fiz duas compras em lojas diferentes, as duas canceladas, faz quase 3 meses que estou aguardando o produto. E demora demais para avisar.",Qualidade,divergência
preciso do produto quero um retorno ou vou cancelar a compra.. muita demora,Logística,atraso
"Acabei de tirar o produto da embalagem e fui usar, constatei que estava com o gatilho quebrado, me molhei todo e alem disto constatei que a embalagem interna que veio o produto, estava aberta,",Qualidade,avaria
segunda vez que comprei o mesmo produto e nao recebi site ridiculo nao entrega o que vende quem quizer comprar compra sabendo que sao enganadores,Logística,entrega
"Apesar de saber da seriedade da loja, me supreendi negativamente pois meus produtos não foram entregues.",Logística,status entrega
"Produto ainda não foi entregue, difícil acesso para reclamações!! Não recomendo para ninguém  E o correio também é uma bosta...",Pedido Errado,cor
Recebi o Kit e veio faltando o condicionador ! Estou muito triste e aguardo uma solução!,Pedido Errado,faltando
ta demorando a entrega nao resebi minha compra ainda,Logística,atraso
paguei frete e tive que retirar nos correios ABSURDO,Pedido Errado,cor
"O produto não serve para a Side by Side SS77X, conforme anunciado. Já solicitei a devolução.",Atendimento,devolução
Não chegou seu algum erro e agora Oq eu faço?,Logística,chegada
Não recebi nenhuma informação pedi cancelamento,Atendimento,cancelamento
"Comprei cartucho para impressora PG40 Canon mandaram cartucho compatível, no anuncio tem até a embalagem da Canon e posso estar enganada (mas acho que não estou) o cartucho é recarregado!?????!?!?!?!",Outros,comprei
aguardo a entrega do segundo produto. Até o presente momento o produto não foi entregue,Logística,entrega
Não teve o cuidado de envia a mercadoria de forma correta veio em um simples envelope.,Pedido Errado,cor
Até hoje não recebi meu produto,Logística,recebimento
"Está apontando como entregue no rastreamento, mas o produto não foi recebido. Ainda estou no aguardo.",Logística,status entrega
"Ainda não recebi o produto, além de ser um prazo mega extenso, não cumpriram com o combinado!  E aii???",Logística,prazo
"Comprei 6 kits de ""Cloreto de Magnésio PA 240 Capsulas de 500 mg"". Chegaram apenas 2 kits em embalagens distintas. Restam chegar ainda 4 kits. Já reclamei no site, mas ainda não obtive resposta.",Atendimento,comunicação
Nao veio com o interruptor tentei ligar na loja e sem êxito,Qualidade,defeito
Mandaram um modelo inferior ao que comprei e ninguém resolve agora.,Pedido Errado,modelo
"Foi entregue somente 1 und, sendo que comprei 2 unds",Logística,status entrega
ate o momento nao recebi o produto,Logística,recebimento
"O produto foi comprado na cor preta e enviado na cor branca. Os carregadores são padrão de outro país, não encaixam nas tomadas do Brasil.",Pedido Errado,produto diferente
"Produtos ainda não chegaram; fui comunicado que extraviaram, e que será enviado novamente, mas, comprei para presentar, mas a data esta próxima, e o produto não chegara á tempo. no aguardo do produtos",Outros,comprei
"Eu fiz a compra no 23/12/2017 e não no dia 19/01/2018, a empresa não entregou o produto e cancelou o pedido, eu quero agora o estorno do valor pago em cartão de crédito e do valor pago em vale bônus!!",Atendimento,financeiro
comprei um controle komeco e nao veio esse modelo.,Pedido Errado,modelo
"Comprei para presente de Natal dia 27/11, ou seja quase um mês antes, a promessa era dia 22. Portanto não me restou outra alternativa a não ser comprar outro. Portanto esse não preciso mais,",Pedido Errado,produto diferente
Comprei um Tablet Qbex e o produto veio com defeito! NÃO CARREGA...,Qualidade,defeito
Ainda tenho esperança de receber o produto. Aparentemente o problema foi no Correio.,Pedido Errado,cor
"Eu cancelei este pedido, não tem como avaliar.",Outros,análise inconclusiva
horrivel demoraram um mes e não enviaram o produto ai cancelei e não me devolveram o dinheiro ate hoje,Atendimento,financeiro
"Comprei um Shampoo e um pente para barba, me mandaram apenas o Shampoo e até agora nada do pente... estou bem irritado e se nao me enviarem meu pedido corretamente eu vou entrar na justiça.",Pedido Errado,cor
"O relógio entregue foi um modelo feminino e não unissex como consta na propaganda. É muito pequeno. No site aparenta ser grande, como desejava. Como não é possível uma troca, solicitei a devolução.",Pedido Errado,modelo
"Produto falsificado com sinais nítidos de pirataria. Além disso vem vazio, sem tinta...Pode isso Arnaldo?",Outros,análise inconclusiva
Produto ainda não foi entregue!,Logística,status entrega
"Produto com defeito, solicitei a devolução do mesmo.",Qualidade,defeito
O prazo já passou e nada do produto chegar.,Logística,prazo
nao recebi a quantidade de produto q paguei falta um kit. o que faço?,Logística,recebimento
Pedir skate masculino veio feminino,Outros,análise inconclusiva
"O produto enviado veio com a caixa amassada,o tabuleiro rasgado e as fichas já destacadas.O jogo que recebi não era da mesma qualidade e não condizia com o da foto no site.Não era da mesma edição.",Qualidade,diferente da foto
Ótimo site para comprar muito confiável,Outros,site
Comprei 4 rodas e só chegou 1 cadê as outras 3?,Logística,chegada
"Efetuei a compra de 3 peças , conforme descrito na nota fiscal, mas ontem recebi apenas 2. Está faltando 1 peça, entrei em contato imediatamente com o site e informei o ocorrido e ainda não respondera",Pedido Errado,faltando
Comprei facas de presente prometi. Minha esposa nao pude entregar.,Logística,entrega
Comprei dois cartuchos de tinta e recebi um.,Logística,recebimento
"Infelizmente o arejador não é articulado e nem 3/4, pois não coube na torneira do tanque.  Quanto a mangueira, ainda não testei. Espero que de certo.",Outros,análise inconclusiva
"Comprei 3 quadros e só chegou um, o da guitarra. Quadro de péssima qualidade, impressão de baixíssima resolução.",Logística,chegada
"pelo valor pago a qualidade foi bem inferior, eu não compraria novamente",Qualidade,qualidade
"Gostei do produto, porém entregaram apenas 1 unidade, faltou uma unidade do produto, algo aconteceu durante na entrega",Pedido Errado,faltou
No anuncio mostra 9 peças tudo mentira eles contam com o recheio dos travesseiroseus e almofadas que por sinal é de péssima qualidade pedaços de espuma picadas horrível péssimo,Qualidade,qualidade
veio somente uma pastilha de 06 e nao recebi o cloro ainda !!!,Pedido Errado,quantidade
Compra efetuada em 28/11 e a nota fiscal ainda não foi emitida....,Outros,análise inconclusiva
"A boneca não é igual a imagem que está no site, por isso fiquei bem desapontado, pois sempre que comprei algumas coisas por esse site eram bem atendidas",Outros,site
nao entregou o pedido dentro do prazo ja solicitei cancelamento,Atendimento,cancelamento
"Não sei se por culpa da transportadora ou não, o fato é de que não recebi o produto ainda, e já está fora do prazo de entrega.",Logística,prazo
Comprei uma coisa e recebi uma falsificação. Cancelei o pedido e msm assim foi entregue como se não ouvesse o cancelamento.,Atendimento,cancelamento
"O site acusa ""pedido entregue"", porém não recebi nada.",Logística,status entrega
"comprei uma cortina de 3x2,80. me enviaram duas cortinas, sendo cada uma de 1,50x2,80. PALHAÇADAAAAAAAAAAAAAAAAAAAAAAAAA.   se eu quisesse uma cortina de 1,50 eu comprava de 1x50, e não de 3 metros",Pedido Errado,cor
"HOJE, dia 02/08/2017- quarta feira, Informo que ainda NÃO recebi 02 Lustres Pendente Meia Lua Meia Bola Esfera Alumínio 34cm escovado, O Correios só entregou até agora 4 dos 6 Lustres que comprei....",Pedido Errado,cor
"A parte superior do produto foi mal feita, não encaixa corretamente e está folgada.",Pedido Errado,cor
Depois de esperar o prazo final de entrega descubro que o produto está indisponível. Paguei pelo mesmo com frete e só no prazo final da entrega descobriram que não tinha em estoque?????,Logística,prazo
Faz um mês que comprei o produto e o mesmo não foi entregue. Mesmo depois de uma semana após o prazo da entrega.,Logística,prazo
"demora, paguei um absurdo no frete ainda não chego, eu reclamei para correio para a lojas amiricanas, o correio falo q não pode faser bada q eu tenho q esperar, ja passo do prazo de entrega",Pedido Errado,cor
Minha mercadoria chegou antes do prazo e é exelente,Logística,prazo
"Dois técnicos tentaram instalar o produto mas, segundo eles, o aparelho não conecta: ""provavelmente trata-se de um defeito"". Sendo assim, solicito a solução desse problema. Aguardo resposta!",Qualidade,defeito
"O produto não funciona, demora demais par o envio e depois para resolver a devolução",Qualidade,funcionalidade
2 dias fora do prazo já mandei email pra empresa e ninguém responde estou preocupada de não chegar meu produto tenho urgência em usá-lo já está pago já passou do prazo e ninguém me comunica nada sobre,Atendimento,email
Não estou com o produto em mãos!,Outros,análise inconclusiva
Infelizmente não recebi o produto solicitado e pago.,Logística,recebimento
"Comprei um relógio por ORIGINAL, além de vir falsificado veio com defeito, não funciona, e ainda me cobraram garantia estendida",Qualidade,defeito
"Passados 50 dias, não recebi o produto.",Logística,recebimento
O relogio não esta funcionando. Nao esta quebrado. Mas nao funciona com a pilha de jeito nenhum. Veio com defeito,Qualidade,avaria
"Recebi o produto porém não é original,e como é um produto pra ingerir não quero colocar a minha saúde em risco.",Qualidade,originalidade
"Fiz a compra de 2 cartuchos de impressora, que estou precisando muito, e até agora não recebi.",Logística,recebimento
Não recebi nem uma notificação de atraso,Logística,atraso
A impressão do quadro é péssima. Detestei e estou tentando fazer a devolução do produto,Atendimento,devolução
Meu tapete ainda não foi entregue.,Logística,status entrega
"O prazo para entrega do produto era dia 21//3, hoje é 26/03 e ainda não chegou. Já enviei mensagem para a empresa para saber o que está ocorrendo, mas eles não me responderam. Não recomendo",Pedido Errado,cor
"Solicito a troca do produto  Recebi o produto errado  Solicito a troca até dia 8/2/17, Pois o produto é presente de aniversário de meu filho que será dia 9/2/17",Pedido Errado,produto errado
"Parece que o produto não foi testado antes de sair da loja, tempo de espera perdido, produto defeituoso.",Outros,loja
"Lençol de baixa qualidade, transparente, produto descartável",Outros,análise inconclusiva
"Na página do produto a foto mostra um produto original, com a maçã da apple. O produto chegou e não é um produto original.",Qualidade,originalidade
Estive peneirando minha pesquisa em jogo de cama de solteiro e 100 % algodão e infelizmente depois de olhar vários acabei escolhendo um que depois de concluir a compra fui verificar que era de casal .,Outros,análise inconclusiva
"Pedi o cancelamento deste produto, mas a loja ou o sistema do site da lannister não cancelaram. O produto foi deixado na agência dos Correios. Não pretendo ir buscá-lo. Desejo o estorno do valor.",Pedido Errado,cor
